Дата,Символ,Тип,Лот,Суап,Печалба,,Месец,Начално салдо,Цел,Разлика,Изпълнена
31/01/2025 23:47:22,EURUSD,buy,0.04,0.00, 2.47,,,,,,
03/02/2025 00:03:09,EURUSD,buy,0.04, 1.61, 3.05,,,,,,
04/02/2025 15:44:42,AUDCAD,buy,0.03,0.00, 1.27,,,,,,
04/02/2025 15:52:46,CHFJPY,buy,0.04,0.00,- 7.00,,,,,,
04/02/2025 16:37:49,EURUSD,sell,0.04,0.00, 2.44,,,,,,
04/02/2025 17:00:08,EURGBP,buy,0.04,0.00,- 6.96,,,,,,
04/02/2025 17:00:10,EURCAD,buy,0.03,0.00, 1.47,,,,,,
04/02/2025 17:00:34,EURUSD,sell,0.04,0.00, 7.60,,,,,,
04/02/2025 17:02:12,USDCAD,buy,0.04,0.00, 5.10,,,,,,
04/02/2025 17:11:56,EURGBP,buy,0.04,0.00, 0.58,,,,,,
04/02/2025 18:30:50,USDCAD,buy,0.04,0.00, 11.07,,,,,,
04/02/2025 18:33:18,EURCAD,buy,0.04,0.00, 6.81,,,,,,
04/02/2025 18:39:42,EURUSD,sell,0.04,0.00, 3.04,,,,,,
05/02/2025 13:16:33,EURJPY,sell,0.04,0.00,- 1.79,,,,,,
05/02/2025 15:56:23,EURUSD,buy,0.05,0.00, 3.60,,,,,,
05/02/2025 15:57:55,USDCHF,sell,0.04,0.00, 2.21,,,,,,
05/02/2025 15:58:23,GBPCAD,buy,0.03,0.00, 3.13,,,,,,
05/02/2025 16:35:18,EURUSD,sell,0.04,0.00, 2.96,,,,,,
05/02/2025 16:43:28,USDCAD,buy,0.04,0.00, 2.13,,,,,,
05/02/2025 17:00:00,EURUSD,sell,0.04,0.00, 5.83,,,,,,
05/02/2025 17:00:28,USDJPY,buy,0.04,0.00, 11.68,,,,,,
05/02/2025 17:00:41,USDCHF,buy,0.05,0.00, 8.35,,,,,,
05/02/2025 17:06:29,EURJPY,buy,0.04,0.00, 3.27,,,,,,
05/02/2025 17:06:38,EURUSD,buy,0.05,0.00, 0.05,,,,,,
05/02/2025 17:07:04,USDCAD,buy,0.05,0.00,- 7.88,,,,,,
05/02/2025 17:33:57,EURCHF,buy,0.05,0.00, 0.80,,,,,,
05/02/2025 17:35:18,EURCHF,buy,0.05,0.00,- 1.33,,,,,,
05/02/2025 17:45:40,EURJPY,buy,0.05,0.00, 3.40,,,,,,
05/02/2025 17:45:48,EURCAD,buy,0.05,0.00, 3.96,,,,,,
05/02/2025 17:47:34,EURUSD,buy,0.05,0.00, 0.19,,,,,,
05/02/2025 18:01:55,USDJPY,buy,0.05,0.00, 4.32,,,,,,
05/02/2025 18:48:19,EURUSD,sell,0.05,0.00,- 8.74,,,,,,
05/02/2025 18:54:11,USDMXN,buy,0.04,0.00, 2.77,,,,,,
05/02/2025 19:15:47,EURCAD,buy,0.04,0.00,- 3.12,,,,,,
05/02/2025 19:15:48,EURUSD,sell,0.05,0.00,- 1.25,,,,,,
06/02/2025 13:53:23,USDMXN,sell,0.04,0.00,- 10.75,,,,,,
06/02/2025 13:59:24,USDJPY,buy,0.03,0.00, 3.17,,,,,,
06/02/2025 14:29:26,EURUSD,sell,0.04,0.00,- 3.24,,,,,,
06/02/2025 15:03:06,USDCHF,buy,0.04,0.00,- 3.45,,,,,,
06/02/2025 18:15:15,EURCAD,buy,0.03,0.00, 4.35,,,,,,
06/02/2025 18:16:34,EURCAD,buy,0.04,0.00, 7.92,,,,,,
06/02/2025 18:36:58,EURJPY,sell,0.03,0.00, 1.03,,,,,,
06/02/2025 19:13:00,USDJPY,sell,0.03,0.00,- 1.41,,,,,,
06/02/2025 20:34:22,USDJPY,buy,0.03,0.00, 6.31,,,,,,
06/02/2025 22:00:39,EURJPY,buy,0.03,0.00, 2.08,,,,,,
06/02/2025 23:42:03,GBPCHF,buy,0.02,0.00,- 1.04,,,,,,
06/02/2025 23:52:33,EURCAD,buy,0.03,0.00, 0.22,,,,,,
07/02/2025 13:16:43,USDJPY,sell,0.03,0.00, 0.84,,,,,,
07/02/2025 17:57:50,EURUSD,buy,0.03, 0.06, 6.15,,,,,,
11/02/2025 12:47:42,EURJPY,sell,0.03, 0.32, 1.78,,,,,,
11/02/2025 15:13:13,EURJPY,sell,0.03,0.00, 4.06,,,,,,
11/02/2025 15:16:05,USDCAD,sell,0.03,0.00,- 2.46,,,,,,
11/02/2025 18:06:54,EURJPY,sell,0.03,0.00, 4.51,,,,,,
11/02/2025 21:37:40,EURGBP,buy,0.03,0.00, 0.04,,,,,,
11/02/2025 21:39:54,AUDUSD,buy,0.03,0.00,- 2.03,,,,,,
11/02/2025 21:43:31,EURJPY,sell,0.03,0.00, 2.54,,,,,,
11/02/2025 22:33:47,EURJPY,buy,0.03,0.00,- 11.61,,,,,,
12/02/2025 07:16:29,EURJPY,sell,0.03, 0.48, 21.27,,,,,,
12/02/2025 07:16:47,USDJPY,sell,0.03, 0.25, 22.77,,,,,,
12/02/2025 11:03:07,EURUSD,sell,0.03,0.00,- 1.97,,,,,,
12/02/2025 11:14:57,USDCAD,sell,0.03,0.00, 2.18,,,,,,
12/02/2025 13:42:54,USDJPY,buy,0.03,0.00, 0.11,,,,,,
12/02/2025 13:42:57,USDCAD,buy,0.04,0.00, 3.67,,,,,,
12/02/2025 15:30:01,EURAUD,buy,0.04,0.00,- 6.02,,,,,,
12/02/2025 15:30:02,EURUSD,buy,0.03,0.00, 12.20,,,,,,
12/02/2025 15:48:59,USDJPY,sell,0.03,0.00, 11.09,,,,,,
12/02/2025 16:42:15,EURUSD,sell,0.04,0.00, 7.58,,,,,,
12/02/2025 16:51:44,EURJPY,sell,0.03,0.00, 5.00,,,,,,
12/02/2025 17:24:59,EURUSD,sell,0.04,0.00, 4.52,,,,,,
12/02/2025 17:42:50,EURUSD,sell,0.04,0.00, 5.59,,,,,,
12/02/2025 17:45:39,GBPUSD,sell,0.03,0.00, 4.13,,,,,,
12/02/2025 18:11:12,GBPUSD,buy,0.04,0.00, 6.14,,,,,,
12/02/2025 18:13:13,EURUSD,buy,0.04,0.00, 5.29,,,,,,
12/02/2025 18:44:04,EURAUD,buy,0.03,0.00, 2.27,,,,,,
12/02/2025 18:44:30,USDJPY,sell,0.03,0.00, 6.11,,,,,,
12/02/2025 18:51:12,EURUSD,sell,0.04,0.00, 5.13,,,,,,
12/02/2025 18:53:48,EURJPY,sell,0.04,0.00, 0.05,,,,,,
12/02/2025 18:55:42,EURUSD,sell,0.04,0.00, 1.16,,,,,,
12/02/2025 18:55:43,EURUSD,sell,0.04,0.00, 3.08,,,,,,
12/02/2025 18:56:47,EURUSD,sell,0.04,0.00, 2.31,,,,,,
13/02/2025 12:48:49,USDCAD,buy,0.04,0.00,- 2.36,,,,,,
13/02/2025 13:46:35,USDCAD,buy,0.04,0.00, 1.26,,,,,,
13/02/2025 13:46:43,EURAUD,buy,0.04,0.00, 0.31,,,,,,
13/02/2025 13:48:07,EURUSD,sell,0.04,0.00,- 8.00,,,,,,
13/02/2025 13:48:46,EURJPY,buy,0.04,0.00, 6.58,,,,,,
13/02/2025 13:52:43,EURUSD,buy,0.04,0.00, 0.77,,,,,,
13/02/2025 13:52:54,USDCAD,sell,0.04,0.00, 0.38,,,,,,
13/02/2025 14:09:56,EURAUD,buy,0.04,0.00, 2.00,,,,,,
13/02/2025 14:15:53,EURGBP,buy,0.04,0.00, 0.38,,,,,,
13/02/2025 15:00:42,EURJPY,buy,0.03,0.00, 2.25,,,,,,
13/02/2025 15:31:17,EURCAD,buy,0.04,0.00, 4.88,,,,,,
13/02/2025 15:31:21,EURUSD,buy,0.03,0.00, 2.86,,,,,,
13/02/2025 15:40:56,USDJPY,buy,0.04,0.00, 4.36,,,,,,
13/02/2025 17:03:34,EURCAD,buy,0.03,0.00,- 2.57,,,,,,
13/02/2025 17:17:40,EURUSD,sell,0.03,0.00, 7.13,,,,,,
13/02/2025 17:17:47,EURJPY,sell,0.04,0.00, 10.58,,,,,,
13/02/2025 17:18:20,AUDCHF,sell,0.04,0.00, 4.06,,,,,,
13/02/2025 17:25:13,EURCAD,buy,0.03,0.00, 1.26,,,,,,
13/02/2025 20:55:35,EURAUD,buy,0.04,0.00, 1.38,,,,,,
14/02/2025 11:16:35,EURUSD,sell,0.04,0.00, 0.15,,,,,,
14/02/2025 11:23:14,USDCHF,buy,0.04,0.00, 7.96,,,,,,
14/02/2025 12:06:51,USDJPY,sell,0.02,0.00,- 3.93,,,,,,
14/02/2025 13:32:44,EURCAD,buy,0.04,0.00,- 3.23,,,,,,
14/02/2025 13:40:22,EURJPY,buy,0.04,0.00,- 2.95,,,,,,
14/02/2025 13:46:05,EURAUD,buy,0.04,0.00, 2.62,,,,,,
14/02/2025 13:56:58,EURCAD,buy,0.04,0.00, 0.84,,,,,,
14/02/2025 15:40:03,USDCAD,buy,0.04,0.00, 2.34,,,,,,
14/02/2025 15:40:07,USDCHF,buy,0.04,0.00, 4.83,,,,,,
14/02/2025 15:42:36,USDCAD,buy,0.04,0.00, 0.05,,,,,,
14/02/2025 15:43:18,EURCAD,sell,0.04,0.00,- 0.70,,,,,,
14/02/2025 15:43:19,EURCAD,buy,0.04,0.00,- 1.64,,,,,,
14/02/2025 16:51:01,EURUSD,sell,0.03,0.00, 4.77,,,,,,
14/02/2025 19:05:20,EURCHF,buy,0.04,0.00, 0.42,,,,,,
14/02/2025 20:59:45,EURJPY,sell,0.02,0.00,- 1.96,,,,,,
14/02/2025 20:59:46,EURUSD,sell,0.04,0.00, 1.52,,,,,,
18/02/2025 12:45:30,EURGBP,sell,0.03,0.00, 1.63,,,,,,
18/02/2025 14:20:42,EURUSD,sell,0.03,0.00,- 3.79,,,,,,
18/02/2025 15:26:34,EURUSD,sell,0.03,0.00,- 2.84,,,,,,
18/02/2025 20:37:51,EURCHF,sell,0.03,0.00, 1.05,,,,,,
19/02/2025 12:22:46,EURUSD,buy,0.03, 0.06, 7.71,,,,,,
19/02/2025 12:49:37,EURCHF,buy,0.03,0.00, 1.69,,,,,,
19/02/2025 13:15:27,AUDCAD,buy,0.03,0.00, 0.36,,,,,,
19/02/2025 15:10:02,EURUSD,sell,0.03,0.00, 0.60,,,,,,
19/02/2025 19:07:21,GBPUSD,buy,0.03,0.00, 4.47,,,,,,
19/02/2025 19:07:26,EURUSD,buy,0.03,0.00, 4.35,,,,,,
19/02/2025 20:38:09,EURGBP,sell,0.03,0.00, 1.16,,,,,,
19/02/2025 21:19:45,USDJPY,buy,0.03,0.00, 3.82,,,,,,
19/02/2025 21:20:07,EURJPY,buy,0.04,0.00, 2.15,,,,,,
19/02/2025 21:21:08,USDJPY,buy,0.03,0.00, 4.71,,,,,,
19/02/2025 22:44:10,EURJPY,buy,0.05,0.00, 2.25,,,,,,
20/02/2025 12:12:39,EURUSD,buy,0.03, 0.18,- 9.54,,,,,,
20/02/2025 15:00:10,CHFJPY,buy,0.04,0.00, 5.80,,,,,,
20/02/2025 15:07:01,USDJPY,buy,0.03,0.00, 4.94,,,,,,
20/02/2025 15:17:18,EURUSD,buy,0.04,0.00,- 3.98,,,,,,
20/02/2025 17:01:46,EURJPY,buy,0.05,0.00, 7.58,,,,,,
20/02/2025 17:08:21,USDJPY,buy,0.05,0.00, 3.20,,,,,,
20/02/2025 17:08:30,CHFJPY,buy,0.05,0.00, 2.72,,,,,,
21/02/2025 02:27:20,USDJPY,buy,0.04,0.00,- 9.54,,,,,,
14/03/2025 13:06:36,EURJPY,sell,0.03, 4.54, 21.12,,,,,,
17/03/2025 17:27:24,USDJPY,buy,0.04,0.00, 5.37,,,,,,
17/03/2025 18:46:19,CHFJPY,buy,0.04,0.00,- 5.92,,,,,,
17/03/2025 18:51:29,EURJPY,buy,0.04,0.00,- 4.58,,,,,,
18/03/2025 10:11:25,EURJPY,sell,0.04, 0.15, 24.83,,,,,,
18/03/2025 12:45:37,EURUSD,buy,0.04,0.00, 3.00,,,,,,
18/03/2025 12:47:30,EURJPY,sell,0.04, 13.95,- 11.49,,,,,,
19/03/2025 12:41:37,EURJPY,sell,0.04,0.00, 4.78,,,,,,
19/03/2025 16:52:11,EURUSD,sell,0.04,0.00,- 7.13,,,,,,
24/03/2025 09:48:18,EURJPY,sell,0.04, 0.16, 4.61,,,,,,
24/03/2025 16:39:55,EURJPY,sell,0.04,0.00, 9.83,,,,,,
24/03/2025 22:42:06,EURJPY,sell,0.04,0.00, 5.41,,,,,,
25/03/2025 15:24:10,EURJPY,buy,0.04,0.00, 5.08,,,,,,
25/03/2025 16:15:43,EURUSD,buy,0.05,0.00, 6.11,,,,,,
25/03/2025 16:27:54,EURUSD,buy,0.05,0.00,- 1.53,,,,,,
25/03/2025 17:27:36,EURJPY,buy,0.05,0.00, 2.04,,,,,,
26/03/2025 05:32:39,EURJPY,sell,0.04,0.00, 10.72,,,,,,
26/03/2025 11:11:21,USDJPY,buy,0.04,0.00, 1.58,,,,,,
26/03/2025 12:05:18,EURJPY,buy,0.03,0.00, 0.22,,,,,,
26/03/2025 12:30:48,CHFJPY,sell,0.04,- 6.10,- 106.83,,,,,,
26/03/2025 15:24:20,EURUSD,buy,0.05,0.00, 8.59,,,,,,
26/03/2025 16:48:15,EURJPY,sell,0.04,0.00, 6.30,,,,,,
26/03/2025 17:57:02,USDZAR,sell,0.05,0.00,- 0.81,,,,,,
26/03/2025 18:19:30,EURUSD,buy,0.05,0.00, 2.09,,,,,,
26/03/2025 19:17:12,EURUSD,buy,0.05,0.00, 8.73,,,,,,
27/03/2025 03:16:13,EURUSD,buy,0.05, 0.30,- 4.23,,,,,,
27/03/2025 12:08:33,EURJPY,sell,0.05, 0.58, 6.68,,,,,,
27/03/2025 17:01:26,EURJPY,sell,0.04, 0.63, 2.31,,,,,,
28/03/2025 14:18:51,EURUSD,buy,0.05, 0.10, 6.78,,,,,,
31/03/2025 07:38:06,USDJPY,buy,0.04,0.00,- 6.56,,,,,,
31/03/2025 08:10:06,EURJPY,buy,0.04,0.00,- 5.99,,,,,,
31/03/2025 07:38:06,USDJPY,buy,0.04,0.00,- 6.56,,,,,,
31/03/2025 08:10:06,EURJPY,buy,0.04,0.00,- 5.99,,,,,,
01/04/2025 11:06:49,EURJPY,buy,0.05,0.00, 0.62,,,,,,
01/04/2025 15:26:13,EURUSD,buy,0.03, 0.12, 2.97,,,,,,
02/04/2025 10:09:08,USDJPY,buy,0.05,0.00, 4.30,,,,,,
02/04/2025 11:32:33,EURUSD,sell,0.05,0.00, 1.62,,,,,,
02/04/2025 13:16:14,EURJPY,buy,0.05,0.00, 3.66,,,,,,
02/04/2025 14:26:55,EURUSD,sell,0.05,0.00, 2.45,,,,,,
02/04/2025 14:26:55,USDJPY,buy,0.05,0.00, 2.45,,,,,,
02/04/2025 15:21:18,EURUSD,sell,0.05,0.00, 2.50,,,,,,
02/04/2025 15:29:36,USDJPY,buy,0.05,0.00, 3.04,,,,,,
02/04/2025 15:29:36,EURJPY,buy,0.05,0.00,- 2.82,,,,,,
02/04/2025 23:13:21,EURJPY,buy,0.05,0.00,- 7.84,,,,,,
02/04/2025 23:13:21,EURUSD,buy,0.05,0.00,- 10.99,,,,,,
02/04/2025 23:13:27,USDJPY,buy,0.05,0.00,- 6.89,,,,,,
02/04/2025 23:13:27,EURJPY,sell,0.04, 2.17, 11.64,,,,,,
