Deals:,,,,,,,,,,,,
Open Time,Ticket,Type,Size,Item,Price,Order,Comment,,Entry,Commission,Swap,Profit
2025.05.01 06:29:18,16963562,sell,0.06,USDJPY,143.492,79232986,[tp 143.492],,out,0,1.46,18.42
2025.05.01 06:41:50,16963675,buy,0.06,EURUSD,1.13008,79233100,,,out,0,0.5,13.86
2025.05.01 09:50:39,16971060,sell,0.07,EURUSD,1.13066,79240517,,,in,0,0,0
2025.05.01 09:50:58,16971084,buy,0.07,USDJPY,144.504,79240541,,,in,0,0,0
2025.05.01 10:17:08,16974297,sell,0.07,USDJPY,144.665,79243753,,,out,0,0,6.9
2025.05.01 10:17:13,16974311,buy,0.07,EURUSD,1.12897,79243767,,,out,0,0,10.48
2025.05.01 11:13:32,16978220,sell,0.07,EURUSD,1.13185,79247714,,,in,0,0,0
2025.05.01 11:18:40,16978249,buy,0.07,EURUSD,1.13252,79247743,,,in,0,0,0
2025.05.01 11:19:06,16978256,sell,0.07,USDJPY,144.301,79247749,,,in,0,0,0
2025.05.01 11:24:26,16978327,buy,0.07,USDJPY,144.219,79247815,,,out,0,0,3.51
2025.05.01 11:24:34,16978328,sell,0.07,EURUSD,1.1329,79247816,,,out,0,0,2.35
2025.05.01 11:53:09,16978468,buy,0.07,USDJPY,144.285,79247959,,,in,0,0,0
2025.05.01 12:02:52,16978517,sell,0.07,USDJPY,144.124,79248013,,,in,0,0,0
2025.05.01 12:14:43,16978596,buy,0.07,USDJPY,144.296,79248093,,,out,0,0,-7.37
2025.05.01 12:57:30,16978819,sell,0.07,USDJPY,144.364,79248331,,,out,0,0,3.38
2025.05.01 14:23:30,16979363,sell,0.07,USDJPY,144.16,79248902,,,in,0,0,0
2025.05.01 14:48:09,16979596,buy,0.07,USDJPY,144.463,79249138,[sl 144.461],,out,0,0,-12.96
2025.05.01 14:48:46,16979615,buy,0.07,USDJPY,144.491,79249157,,,in,0,0,0
2025.05.01 16:37:40,16981211,sell,0.07,USDJPY,144.652,79250810,,,out,0,0,6.88
2025.05.01 17:05:28,16981894,buy,0.07,USDJPY,144.933,79251505,,,in,0,0,0
2025.05.01 17:11:37,16982130,buy,0.07,EURUSD,1.12957,79251740,,,out,0,0,14.13
2025.05.01 17:11:49,16982132,sell,0.07,USDJPY,144.957,79251742,,,out,0,0,1.03
2025.05.01 17:18:51,16982323,sell,0.07,EURUSD,1.12888,79251933,,,in,0,0,0
2025.05.01 17:26:37,16983391,buy,0.07,USDJPY,145.027,79252998,,,in,0,0,0
2025.05.01 17:58:17,16988407,sell,0.07,USDJPY,145.394,79258026,,,out,0,0,15.66
2025.05.01 17:58:25,16988438,buy,0.07,EURUSD,1.12782,79258058,,,out,0,0,6.58
